TABELA_S4;TABELA_DS;VIEW_DS;STATUS
A003;S4H_TB_A003;S4H_VW_A003_R;OK
A004;S4H_TB_A004;S4H_VW_A004_R;OK
A005;S4H_TB_A005;S4H_VW_A005_R;OK
A016;S4H_TB_A016;S4H_VW_A016_R;OK
A068;S4H_TB_A068;S4H_VW_A068_R;OK
A346;S4H_TB_A346;S4H_VW_A346_R;OK
A524;S4H_TB_A524;S4H_VW_A524_R;OK
A601;S4H_TB_A601;S4H_VW_A601_R;OK
A860;S4H_TB_A860;S4H_VW_A860_R;OK
A861;S4H_TB_A861;S4H_VW_A861_R;OK
A862;S4H_TB_A862;S4H_VW_A862_R;OK
A863;S4H_TB_A863;S4H_VW_A863_R;OK
A864;S4H_TB_A864;S4H_VW_A864_R;OK
A865;S4H_TB_A865;S4H_VW_A865_R;OK
A866;S4H_TB_A866;S4H_VW_A866_R;OK
A867;S4H_TB_A867;S4H_VW_A867_R;OK
A868;S4H_TB_A868;S4H_VW_A868_R;OK
A869;S4H_TB_A869;S4H_VW_A869_R;OK
A874;S4H_TB_A874;S4H_VW_A874_R;OK
A875;S4H_TB_A875;S4H_VW_A875_R;OK
A876;S4H_TB_A876;S4H_VW_A876_R;OK
A877;S4H_TB_A877;S4H_VW_A877_R;OK
A878;S4H_TB_A878;S4H_VW_A878_R;OK
A879;S4H_TB_A879;S4H_VW_A879_R;OK
A880;S4H_TB_A880;S4H_VW_A880_R;OK
A891;S4H_TB_A891;S4H_VW_A891_R;OK
A892;S4H_TB_A892;S4H_VW_A892_R;OK
A893;S4H_TB_A893;S4H_VW_A893_R;OK
A894;S4H_TB_A894;S4H_VW_A894_R;OK
A895;S4H_TB_A895;S4H_VW_A895_R;OK
A896;S4H_TB_A896;S4H_VW_A896_R;
A897;S4H_TB_A897;S4H_VW_A897_R;
A898;S4H_TB_A898;S4H_VW_A898_R;
A912;S4H_TB_A912;S4H_VW_A912_R;
A917;S4H_TB_A917;S4H_VW_A917_R;
A918;S4H_TB_A918;S4H_VW_A918_R;
A919;S4H_TB_A919;S4H_VW_A919_R;
A920;S4H_TB_A920;S4H_VW_A920_R;
A922;S4H_TB_A922;S4H_VW_A922_R;
A923;S4H_TB_A923;S4H_VW_A923_R;
A949;S4H_TB_A949;S4H_VW_A949_R;
A952;S4H_TB_A952;S4H_VW_A952_R;
ADCP;S4H_TB_ADCP;S4H_VW_ADCP_R;
ADR2;S4H_TB_ADR2;S4H_VW_ADR2_R;
ADR6;S4H_TB_ADR6;S4H_VW_ADR6_R;
ADRC;S4H_TB_ADRC;S4H_VW_ADRC_R;
ADRCT;S4H_TB_ADRCT;S4H_VW_ADRCT_R;
ADRP;S4H_TB_ADRP;S4H_VW_ADRP_R;
ADRT;S4H_TB_ADRT;S4H_VW_ADRT_R;
AFAB;S4H_TB_AFAB;S4H_VW_AFAB_R;
AFFH;S4H_TB_AFFH;S4H_VW_AFFH_R;
AFFL;S4H_TB_AFFL;S4H_VW_AFFL_R;
