CDS;STATUS
ZS4_VCI_BSET;OK
ZS4_VCI_BSIP;
ZS4_VCI_BUT000;
ZS4_VCI_BUT020;
ZS4_VCI_BUT100;
VC_INTEGRATION_CABN;OK
VC_INTEGRATION_CABNT;OK
VC_INTEGRATION_CAWN;OK
VC_INTEGRATION_CAWNT;OK
ZS4_VCI_CEPC;
ZS4_VCI_CEPCT;
ZS4_VCI_CHVW;
ZS4_VCI_CKMLHD;
ZS4_VCI_CKMLKEV;
ZS4_VCI_CKMLMV001;
ZS4_VCI_CKMLMV002;
ZS4_VCI_CKMLMV005;
ZS4_VCI_CKMLMV009T;
ZS4_VCI_CKMLPRKEPH;
ZS4_VCI_CKMLRUNPERIOD;
ZS4_VCI_CMFP;
ZS4_VCI_COBK;
ZS4_VCI_COBRA;
ZS4_VCI_COEPBR;
ZS4_VCI_COEPD;
ZS4_VCI_COEPL;
ZS4_VCI_COEPR;
ZS4_VCI_COFP;
ZS4_VCI_COOI;
ZS4_VCI_COSR;
ZS4_VCI_COST;
ZS4_VCI_CPEC_TERM;
ZS4_VCI_CPED_KNUMVTOGUID;
ZS4_VCI_CPED_TERMGRPOUT;
ZS4_VCI_CPED_TERMINPUT;
ZS4_VCI_CRCA;
ZS4_VCI_CRCO;
ZS4_VCI_CRFH;
ZS4_VCI_CRHD;
ZS4_VCI_CRHH;
ZS4_VCI_CRHS;
ZS4_VCI_CRTX;
ZS4_VCI_CRVD_A;
ZS4_VCI_CRVD_B;
ZS4_VCI_CRVE_A;
ZS4_VCI_CRVE_B;
ZS4_VCI_CRVM_A;
ZS4_VCI_CRVM_B;
ZS4_VCI_CRVP_A;
ZS4_VCI_CRVP_B;
ZS4_VCI_CRVS_A;
ZS4_VCI_CRVS_B;
ZS4_VCI_CSKS;
ZS4_VCI_CSKT;
ZS4_VCI_CSLA;
ZS4_VCI_CSLT;
ZS4_VCI_CSSK;
ZS4_VCI_CSSL;
ZS4_VCI_DD01L;
VC_INTEGRATION_DD02L;
ZS4_VCI_DD02T;
VC_INTEGRATION_DD03L;
ZS4_VCI_DD03T;
ZS4_VCI_DD04L;
VC_INTEGRATION_DD04T;
VC_INTEGRATION_DD07T;
ZS4_VCI_DD08L;
ZS4_VCI_DFKKBPTAXNUM;
ZS4_VCI_DMS_DOC_FILES;
ZS4_VCI_DMS_DOC2LOIO;
ZS4_VCI_DMS_PH_CD1;
ZS4_VCI_DMS_PHIO2FILE;
ZS4_VCI_DRAD;
ZS4_VCI_DRAP;
ZS4_VCI_DRAT;
ZS4_VCI_DRAW;
ZS4_VCI_E070;
ZS4_VCI_E070A;
ZS4_VCI_E071;
ZS4_VCI_E071K;
ZS4_VCI_E07T;
ZS4_VCI_EAML_D_LFE_DATA;
ZS4_VCI_EAPL;
ZS4_VCI_EBAN;
ZS4_VCI_EBAN_TECH;
ZS4_VCI_EBEW;
ZS4_VCI_EBUB;
ZS4_VCI_EHFNDC_ACTEFF_T;
ZS4_VCI_EHFNDC_ACTPRTG_T;
ZS4_VCI_EHFNDC_ACTSUB_T;
ZS4_VCI_EHFNDC_ACTTYPE_T;
ZS4_VCI_EHFNDC_PERGRP_T;
ZS4_VCI_EHFNDC_PTY_TYP_T;
ZS4_VCI_EHFNDD_LHR_HIER;
ZS4_VCI_EHFNDD_LHR_REV;
ZS4_VCI_EHFNDD_LOC_REV;
ZS4_VCI_EHFNDD_LOC_ROOT;
ZS4_VCI_EHFNDD_LOC_TEXT;
ZS4_VCI_EHFNDD_PSE_RECUR;
ZS4_VCI_EHFNDD_PSE_ROOT;
ZS4_VCI_EHHSSC_BDYPART_T;
ZS4_VCI_EHHSSC_BDYSIDE_T;
ZS4_VCI_EHHSSC_CSEODTH_T;
ZS4_VCI_EHHSSC_EST_RSK_T;
ZS4_VCI_EHHSSC_FINCAT;
ZS4_VCI_EHHSSC_FINCAT_T;
ZS4_VCI_EHHSSC_INC_FRE_T;
ZS4_VCI_EHHSSC_INC_SEV_T;
ZS4_VCI_EHHSSC_INJILTP_T;
ZS4_VCI_EHHSSC_LOCAT_T;
