CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_TJ03;RS_S4H_PUB_003;S4H_TB_TJ03;S4H_VW_TJ03_R;
ZS4_VCI_TJ03T;RS_S4H_PUB_003;S4H_TB_TJ03T;S4H_VW_TJ03T_R;
ZS4_VCI_TJ04;RS_S4H_PUB_003;S4H_TB_TJ04;S4H_VW_TJ04_R;
ZS4_VCI_TJ20;RS_S4H_PUB_003;S4H_TB_TJ20;S4H_VW_TJ20_R;
ZS4_VCI_TJ20T;RS_S4H_PUB_003;S4H_TB_TJ20T;S4H_VW_TJ20T_R;
ZS4_VCI_TJ30;RS_S4H_PUB_003;S4H_TB_TJ30;S4H_VW_TJ30_R;
ZS4_VCI_TJ30T;RS_S4H_PUB_003;S4H_TB_TJ30T;S4H_VW_TJ30T_R;
ZS4_VCI_TJ48;RS_S4H_PUB_003;S4H_TB_TJ48;S4H_VW_TJ48_R;
ZS4_VCI_TJ49;RS_S4H_PUB_003;S4H_TB_TJ49;S4H_VW_TJ49_R;
ZS4_VCI_TKA01;RS_S4H_PUB_003;S4H_TB_TKA01;S4H_VW_TKA01_R;
ZS4_VCI_TKA02;RS_S4H_PUB_003;S4H_TB_TKA02;S4H_VW_TKA02_R;
ZS4_VCI_TKA03;RS_S4H_PUB_003;S4H_TB_TKA03;S4H_VW_TKA03_R;
ZS4_VCI_TKB5AL;RS_S4H_PUB_003;S4H_TB_TKB5AL;S4H_VW_TKB5AL_R;
ZS4_VCI_TKB5E;RS_S4H_PUB_003;S4H_TB_TKB5E;S4H_VW_TKB5E_R;
ZS4_VCI_TKB6;RS_S4H_PUB_003;S4H_TB_TKB6;S4H_VW_TKB6_R;
ZS4_VCI_TKB8A;RS_S4H_PUB_003;S4H_TB_TKB8A;S4H_VW_TKB8A_R;
ZS4_VCI_TKEB;RS_S4H_PUB_003;S4H_TB_TKEB;S4H_VW_TKEB_R;
ZS4_VCI_TKEBL;RS_S4H_PUB_003;S4H_TB_TKEBL;S4H_VW_TKEBL_R;
ZS4_VCI_TKEL;RS_S4H_PUB_003;S4H_TB_TKEL;S4H_VW_TKEL_R;
ZS4_VCI_TKT03;RS_S4H_PUB_003;S4H_TB_TKT03;S4H_VW_TKT03_R;
ZS4_VCI_TKT05;RS_S4H_PUB_003;S4H_TB_TKT05;S4H_VW_TKT05_R;
ZS4_VCI_TMABCT;RS_S4H_PUB_003;S4H_TB_TMABCT;S4H_VW_TMABCT_R;
